r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.161508,  -0.199257,   0.021604,   0.236738,   0.081817,   0.037078,   0.870579,   0.179521,  
Y Velocity[A/fs],   0.094175,  -0.080195,  -0.223973,  -0.027444,   0.227212,  -0.877671,  -0.131098,   0.858773, 
Z Velocity[A/fs],  -0.007173,  -0.012156,   0.008423,  -0.020107,   0.015201,   0.057616,   0.046499,  -0.031977,  
Speed[A/fs],   0.187096,   0.215133,   0.225170,   0.239170,   0.241972,   0.880342,   0.881622,   0.877919,  
 
r_seed=21,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.165754,  -0.194179,   0.030824,   0.242216,   0.081385,   0.059652,   0.878442,   0.200306,  
Y Velocity[A/fs],   0.094353,  -0.084239,  -0.216199,  -0.022694,   0.227020,  -0.872921,  -0.092733,   0.856516, 
Z Velocity[A/fs],   0.012669,  -0.012232,  -0.010569,   0.025693,  -0.020139,  -0.012599,  -0.000862,   0.018679,  
Speed[A/fs],   0.191147,   0.212017,   0.218641,   0.244630,   0.242006,   0.875047,   0.883324,   0.879825,  
 
r_seed=22,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
