C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Z Velocity[A/fs],   0.031514,  -0.130682,   0.134775,  -0.028407,  -0.398399,   0.726251,  -0.169063,  -0.870841,   0.119850,  -0.106871,   0.826530,   0.392257,  -0.709770,   0.153516,  
Speed[A/fs],   0.229458,   0.221236,   0.231295,   0.228000,   0.895103,   0.904947,   0.845995,   0.891063,   0.902835,   0.895240,   0.858479,   0.880125,   0.887966,   0.868121,  
 
C4H10_14r1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    2.0106098652,    1.8003778458,    1.3881127834,    2.0583567619,    0.9995267497,    0.9980340532,    0.9907679493,    0.9997025600,    0.9999497990,    0.9996184191,    0.9989481773,    0.9985010229,    0.9987578945,    0.9999073549,  
Time[fs],  68.132000,  68.349000,  74.678000,  67.958000,  28.361000,  30.247000,  27.055000,  28.236000,  28.859000,  29.327000,  28.098000,  28.581000,  28.803000,  26.843000,  
Charge Sum,   17.2411712363, 
X Velocity[A/fs],  -0.173316,  -0.103776,   0.105565,   0.174515,  -0.234093,  -0.551313,  -0.829694,  -0.126105,  -0.531846,   0.536073,   0.057520,   0.221363,   0.383345,   0.864686,  
Y Velocity[A/fs],  -0.155564,   0.168491,   0.143489,  -0.136586,  -0.830307,  -0.134049,  -0.051282,   0.152894,   0.731181,   0.730660,   0.157978,  -0.793839,  -0.210189,   0.021950, 
Z Velocity[A/fs],   0.026850,  -0.124348,   0.142525,  -0.064437,  -0.281990,   0.709391,  -0.209541,  -0.875109,   0.087965,  -0.064981,   0.845241,   0.318050,  -0.778097,   0.128495,  
Speed[A/fs],   0.234434,   0.233711,   0.228137,   0.230788,   0.907594,   0.908378,   0.857280,   0.897271,   0.908418,   0.908549,   0.861800,   0.883367,   0.892507,   0.874457,  
 
C4H10_14r36,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    2.0493292809,    1.5807943344,    1.7308042049,    2.0504785776,    0.9993161251,    0.9985931002,    0.9603896663,    0.9995532211,    0.9989531239,    0.9983389092,    0.9985076129,    0.9984948017,    0.9998522149,    0.9999721871,  
Time[fs],  69.486000,  70.115000,  67.675000,  65.401000,  28.877000,  30.038000,  26.737000,  28.138000,  29.982000,  28.896000,  28.418000,  28.685000,  30.334000,  27.244000,  
Charge Sum,   17.3633773602, 
X Velocity[A/fs],  -0.168606,  -0.107182,   0.101381,   0.183786,  -0.200826,  -0.470526,  -0.848742,  -0.125767,  -0.593154,   0.489467,  -0.015583,   0.145988,   0.522933,   0.835916,  
Y Velocity[A/fs],  -0.153102,   0.159010,   0.169308,  -0.148344,  -0.763964,  -0.272015,  -0.038450,   0.214824,   0.690254,   0.734090,   0.228814,  -0.792907,  -0.147246,  -0.050279, 
